processor,benchmark,mode,size,cycles,instructions,ipc,passed,note
riscvbyp,daxpy_n,scalar,16,756,179,0.23677248677248677,True,ok
riscvbyp,daxpy_n,scalar,32,1476,323,0.21883468834688347,True,ok
riscvbyp,daxpy_n,scalar,64,2916,611,0.20953360768175583,True,ok
riscvbyp,daxpy_n,scalar,128,5796,1187,0.20479641131815046,True,ok
riscvbyp,daxpy_n,scalar,256,11556,2339,0.20240567670474213,True,ok
riscvlong,daxpy_n,scalar,16,262,180,0.6870229007633588,True,ok
riscvlong,daxpy_n,scalar,32,486,324,0.6666666666666666,True,ok
riscvlong,daxpy_n,scalar,64,934,612,0.6552462526766595,True,ok
riscvlong,daxpy_n,scalar,128,1830,1188,0.6491803278688525,True,ok
riscvlong,daxpy_n,scalar,256,3622,2340,0.6460519050248481,True,ok
riscvooo,daxpy_n,scalar,16,277,179,0.6462093862815884,True,ok
riscvooo,daxpy_n,scalar,32,517,323,0.6247582205029013,True,ok
riscvooo,daxpy_n,scalar,64,997,611,0.6128385155466399,True,ok
riscvooo,daxpy_n,scalar,128,1957,1187,0.6065406234031682,True,ok
riscvooo,daxpy_n,scalar,256,3877,2339,0.6033015217952025,True,ok
riscvvec,daxpy_n,scalar,16,756,179,0.23677248677248677,True,ok
riscvvec,daxpy_n,vector,16,171,52,0.30409356725146197,True,ok
riscvvec,daxpy_n,scalar,32,1476,323,0.21883468834688347,True,ok
riscvvec,daxpy_n,vector,32,283,52,0.18374558303886926,True,ok
riscvvec,daxpy_n,scalar,64,2916,611,0.20953360768175583,True,ok
riscvvec,daxpy_n,vector,64,524,65,0.12404580152671756,True,ok
riscvvec,daxpy_n,scalar,128,5796,1187,0.20479641131815046,True,ok
riscvvec,daxpy_n,vector,128,1006,91,0.09045725646123261,True,ok
riscvvec,daxpy_n,scalar,256,11556,2339,0.20240567670474213,True,ok
riscvvec,daxpy_n,vector,256,1970,143,0.07258883248730964,True,ok
riscvvec-chained,daxpy_n,scalar,16,756,179,0.23677248677248677,True,ok
riscvvec-chained,daxpy_n,vector,16,154,52,0.33766233766233766,True,ok
riscvvec-chained,daxpy_n,scalar,32,1476,323,0.21883468834688347,True,ok
riscvvec-chained,daxpy_n,vector,32,250,52,0.208,True,ok
riscvvec-chained,daxpy_n,scalar,64,2916,611,0.20953360768175583,True,ok
riscvvec-chained,daxpy_n,vector,64,458,65,0.14192139737991266,True,ok
riscvvec-chained,daxpy_n,scalar,128,5796,1187,0.20479641131815046,True,ok
riscvvec-chained,daxpy_n,vector,128,874,91,0.10411899313501144,True,ok
riscvvec-chained,daxpy_n,scalar,256,11556,2339,0.20240567670474213,True,ok
riscvvec-chained,daxpy_n,vector,256,1706,143,0.08382180539273154,True,ok
