processor,benchmark,mode,size,cycles,instructions,ipc,passed,note
riscvbyp,linpack_size,scalar,4,797,204,0.2559598494353827,True,ok
riscvbyp,linpack_size,scalar,8,2997,628,0.20954287620954287,True,ok
riscvbyp,linpack_size,scalar,16,11718,2245,0.19158559481140125,True,ok
riscvbyp,linpack_size,scalar,32,46438,8549,0.18409492226194066,True,ok
riscvlong,linpack_size,scalar,4,303,205,0.6765676567656765,True,ok
riscvlong,linpack_size,scalar,8,1015,629,0.6197044334975369,True,ok
riscvlong,linpack_size,scalar,16,3784,2246,0.5935517970401691,True,ok
riscvlong,linpack_size,scalar,32,14696,8550,0.5817909635274905,True,ok
riscvooo,linpack_size,scalar,4,306,204,0.6666666666666666,True,ok
riscvooo,linpack_size,scalar,8,1022,628,0.6144814090019569,True,ok
riscvooo,linpack_size,scalar,16,3799,2245,0.590944985522506,True,ok
riscvooo,linpack_size,scalar,32,14727,8549,0.5804984042914375,True,ok
riscvvec,linpack_size,scalar,4,797,204,0.2559598494353827,True,ok
riscvvec,linpack_size,vector,4,167,79,0.47305389221556887,True,ok
riscvvec,linpack_size,scalar,8,2997,628,0.20954287620954287,True,ok
riscvvec,linpack_size,vector,8,415,115,0.27710843373493976,True,ok
riscvvec,linpack_size,scalar,16,11718,2245,0.19158559481140125,True,ok
riscvvec,linpack_size,vector,16,1296,188,0.14506172839506173,True,ok
riscvvec,linpack_size,scalar,32,46438,8549,0.18409492226194066,True,ok
riscvvec,linpack_size,vector,32,4592,332,0.07229965156794425,True,ok
riscvvec-chained,linpack_size,scalar,4,797,204,0.2559598494353827,True,ok
riscvvec-chained,linpack_size,vector,4,167,79,0.47305389221556887,True,ok
riscvvec-chained,linpack_size,scalar,8,2997,628,0.20954287620954287,True,ok
riscvvec-chained,linpack_size,vector,8,415,115,0.27710843373493976,True,ok
riscvvec-chained,linpack_size,scalar,16,11718,2245,0.19158559481140125,True,ok
riscvvec-chained,linpack_size,vector,16,1296,188,0.14506172839506173,True,ok
riscvvec-chained,linpack_size,scalar,32,46438,8549,0.18409492226194066,True,ok
riscvvec-chained,linpack_size,vector,32,4592,332,0.07229965156794425,True,ok
