processor,benchmark,mode,size,cycles,instructions,ipc,passed,note
riscvbyp,vvadd,scalar,32,452,323,0.7146017699115044,True,ok
riscvbyp,saxpy,scalar,16,739,146,0.1975642760487145,True,ok
riscvbyp,daxpy,scalar,32,1475,322,0.2183050847457627,True,ok
riscvbyp,linpack,scalar,256,11718,2245,0.19158559481140125,True,ok
riscvbyp,ubmark-vvadd,scalar,100,1539,1068,0.6939571150097466,True,ok
riscvbyp,ubmark-cmplx-mult,scalar,100,16804,2808,0.16710307069745298,True,ok
riscvbyp,ubmark-bin-search,scalar,100,1633,1116,0.683404776484997,True,ok
riscvbyp,ubmark-masked-filter,scalar,100,17971,7133,0.39691725557843194,True,ok
riscvlong,vvadd,scalar,32,422,324,0.7677725118483413,True,ok
riscvlong,saxpy,scalar,16,245,147,0.6,True,ok
riscvlong,daxpy,scalar,32,485,323,0.6659793814432989,True,ok
riscvlong,linpack,scalar,256,3784,2246,0.5935517970401691,True,ok
riscvlong,ubmark-vvadd,scalar,100,1453,1070,0.7364074328974536,True,ok
riscvlong,ubmark-cmplx-mult,scalar,100,3843,2810,0.7311995836586,True,ok
riscvlong,ubmark-bin-search,scalar,100,1541,1118,0.7255029201817002,True,ok
riscvlong,ubmark-masked-filter,scalar,100,9967,7135,0.7158623457409451,True,ok
riscvooo,vvadd,scalar,32,453,323,0.7130242825607064,True,ok
riscvooo,saxpy,scalar,16,260,146,0.5615384615384615,True,ok
riscvooo,daxpy,scalar,32,516,322,0.624031007751938,True,ok
riscvooo,linpack,scalar,256,3799,2245,0.590944985522506,True,ok
riscvooo,ubmark-vvadd,scalar,100,1528,1067,0.6982984293193717,True,ok
riscvooo,ubmark-cmplx-mult,scalar,100,3953,2807,0.7100935997976221,True,ok
riscvooo,ubmark-bin-search,scalar,100,1577,1115,0.7070386810399493,True,ok
riscvooo,ubmark-masked-filter,scalar,100,11254,7132,0.6337302292518215,True,ok
riscvvec,vvadd,scalar,32,452,323,0.7146017699115044,True,ok
riscvvec,vvadd,vector,32,242,44,0.18181818181818182,True,ok
riscvvec,saxpy,scalar,16,739,146,0.1975642760487145,True,ok
riscvvec,saxpy,vector,16,112,42,0.375,True,ok
riscvvec,daxpy,scalar,32,1475,322,0.2183050847457627,True,ok
riscvvec,daxpy,vector,32,274,44,0.16058394160583941,True,ok
riscvvec,linpack,scalar,256,11718,2245,0.19158559481140125,True,ok
riscvvec,linpack,vector,256,1296,188,0.14506172839506173,True,ok
riscvvec,ubmark-vvadd,scalar,100,1539,1068,0.6939571150097466,True,ok
riscvvec,ubmark-cmplx-mult,scalar,100,16804,2808,0.16710307069745298,True,ok
riscvvec,ubmark-bin-search,scalar,100,1633,1116,0.683404776484997,True,ok
riscvvec,ubmark-masked-filter,scalar,100,17971,7133,0.39691725557843194,True,ok
riscvvec-chained,vvadd,scalar,32,452,323,0.7146017699115044,True,ok
riscvvec-chained,vvadd,vector,32,242,44,0.18181818181818182,True,ok
riscvvec-chained,saxpy,scalar,16,739,146,0.1975642760487145,True,ok
riscvvec-chained,saxpy,vector,16,112,42,0.375,True,ok
riscvvec-chained,daxpy,scalar,32,1475,322,0.2183050847457627,True,ok
riscvvec-chained,daxpy,vector,32,241,44,0.1825726141078838,True,ok
riscvvec-chained,linpack,scalar,256,11718,2245,0.19158559481140125,True,ok
riscvvec-chained,linpack,vector,256,1296,188,0.14506172839506173,True,ok
riscvvec-chained,ubmark-vvadd,scalar,100,1539,1068,0.6939571150097466,True,ok
riscvvec-chained,ubmark-cmplx-mult,scalar,100,16804,2808,0.16710307069745298,True,ok
riscvvec-chained,ubmark-bin-search,scalar,100,1633,1116,0.683404776484997,True,ok
riscvvec-chained,ubmark-masked-filter,scalar,100,17971,7133,0.39691725557843194,True,ok
